Id,Name,Quantity,Unit
128C7209-A927-E1E6-228B-05DCA5E22F5E,"eget",2,2
B4268FDA-CB43-128C-9462-4C7A5D141152,auctor,3,1
E34039E8-AF64-1DA8-3F91-BF88AEE7EC54,posuere cubilia Curae; Phasellus ornare. Fusce mollis. Duis sit amet,5,3
AF6E0654-EFFA-0F6B-FAAE-0127A9278544,et malesuada fames ac turpis egestas. Aliquam fringilla cursus,3,3
5800170F-C1C7-C8F5-78B5-C95A20C6129D,tellus lorem eu metus. In lorem. Donec,5,2
75DEA8BD-4CCB-96EE-8E9E-227FFCA0F1E4,tempus risus. Donec egestas. Duis ac,2,3
772BEF6D-268F-0336-17FF-E84B4137514F,sed,3,1
AF92E988-D1FE-52B4-2A01-D315F275A5D5,tempor bibendum.,5,2
FBBD0FB2-9E46-9B7E-82E8-E2A8F4FF06E6,"vel, venenatis",10,1
82285FB7-EE4C-7013-C4C6-AC8C7FA73B6C,"bibendum. Donec felis orci,",1,1
22916665-04C8-22C2-F8F2-9E80851F1D2F,orci luctus et ultrices posuere cubilia,4,3
13E735D6-C690-8CD4-B007-B8741ACDDCB7,orci. Ut semper pretium,3,2
76F2CAEF-84C2-9C21-A4A4-F01F5C844439,"ipsum sodales purus,",5,1
AAD10415-81B3-3B29-AE3A-53E8ADA880A8,"lorem ut aliquam iaculis, lacus pede sagittis augue,",8,3
0B297A5D-8BD4-0320-A1C9-A73E0C593673,ornare lectus justo eu arcu. Morbi,10,1
9C990202-E23B-70D6-EE27-5845E7A40CEB,"placerat, augue. Sed molestie. Sed",2,2
A3751DEF-B465-8412-CDD7-5541097343B3,quis diam luctus lobortis. Class aptent taciti sociosqu ad,3,3
AC2AF1D3-15AE-E396-D815-5A81EFB5FD87,consectetuer,2,3
DFAEA319-7C13-3362-ED90-F696DB57DCF2,et ultrices posuere cubilia Curae; Donec tincidunt. Donec vitae erat,4,1
D260AB4E-FC72-5F6D-481B-227264710D16,ultrices. Vivamus rhoncus. Donec est.,5,3
FBA5F71C-ECD3-D924-4D9C-A7E3026DFF14,"Phasellus libero mauris, aliquam eu, accumsan sed, facilisis",6,2
FBFBE306-BCD1-E714-E96A-07A69551D3CE,Proin sed turpis nec mauris,8,1
8111618C-EB06-8B1E-5F78-05D6B2C2896A,justo eu arcu. Morbi sit,6,2
D6F6BDB7-3218-CEDB-C959-30DD4DE64151,"Donec est mauris, rhoncus id, mollis",3,1
163E5E9B-3616-29A6-63ED-990F454204E9,"eget laoreet posuere, enim nisl",2,2
9C1F4D0C-67B0-B7A7-32CF-B2F6737A1288,Sed eu eros. Nam consequat dolor vitae dolor. Donec,6,2
1692587D-9081-F7FB-ED8F-A7A3AB853805,purus gravida,4,3
322AEC84-25F3-0FCB-B945-4016AC9524CA,nec mauris blandit mattis. Cras eget nisi dictum,7,3
862BA5BA-8D8B-65E4-7638-A2A69DDB4FC9,cursus vestibulum. Mauris magna.,4,2
192E2B8A-7DD6-DAE5-AD9E-F0A577D024BD,"Cras lorem lorem, luctus ut,",10,2
890FFDBA-CD1D-C79C-5397-62E81C0EB8B7,dictum.,9,1
FC5E4104-B93F-2A2A-6FF2-D9AC56D259CA,eu elit. Nulla facilisi.,10,3
364E1836-DBC8-1F1B-509B-B8C9A064403D,"amet luctus vulputate, nisi sem semper erat, in",10,3
C4670BC7-9690-651E-1FC2-1A1CB8E3C4CF,orci sem eget massa.,3,1
E95E47CA-F6A4-2B88-942D-1F23CB09D8D5,"sed dictum eleifend, nunc risus",1,1
FCCBFBD8-6CE1-16C4-58A2-A9582AEF5464,"eu, placerat eget, venenatis a, magna.",7,2
154DD3FE-090A-7EC6-E9F9-0062809530A2,"penatibus et magnis dis parturient montes,",6,2
A45E15F4-744A-30C8-7DEB-0B19FC9FBB6F,"auctor quis, tristique",8,3
697B85DC-2FEF-D774-E825-7DFD42A8A38B,"Sed diam lorem, auctor",6,2
D5CA7001-D8F5-3942-156B-1CB4FEE49391,"egestas a, dui. Cras pellentesque.",3,1
5C571432-9FFE-D680-CAFF-5A9DA65FEB23,Integer in,3,1
F2A71D4A-D724-0784-F85F-F52E6D01F290,non lorem vitae odio sagittis,1,3
A33A685C-DCE6-42CB-9002-509E90F51BC7,egestas. Aliquam nec enim.,4,3
8B4B40BB-BA7C-AF19-595B-9CA0BCF50433,massa. Quisque porttitor eros nec tellus.,5,2
855D60FF-C850-51DA-C7B0-9FF5067CDCFD,in molestie tortor nibh sit amet orci. Ut sagittis,5,2
2E1002CB-5F34-F877-7E1C-074F5F2EEB5D,mattis. Cras eget nisi dictum augue malesuada malesuada.,1,1
12D2F0B5-7DD8-2D21-7112-002FFB8D8572,"nonummy ut, molestie in, tempus eu, ligula. Aenean euismod",6,3
1F635847-2D2D-F368-9B2F-DF8F91453F68,eu turpis. Nulla,8,3
1B22C3D0-D38F-ED46-1AF7-DD6EABE847A7,"posuere vulputate, lacus. Cras interdum. Nunc sollicitudin commodo",7,2
98961C6B-2336-6B86-8249-ED5597DCA158,Nunc sollicitudin commodo ipsum. Suspendisse non,10,1
C6F9CEE4-94CB-A18C-066D-036890C5DB06,metus.,8,3
CEF3C8A1-FDC3-6DEA-0F14-75A7F94D0A59,at arcu. Vestibulum ante ipsum primis,5,3
868DE6E4-C344-2CC1-6C23-8DC5E390A810,"in, dolor.",3,1
6B8E315C-DC6B-B29C-8DAA-C5013FD42765,nec ante,7,1
0C71B08E-A39E-087D-D24F-522A29320087,"est mauris, rhoncus id,",9,2
C557663B-237C-1B85-C2F0-41941EA43B3C,orci sem eget massa. Suspendisse eleifend. Cras sed leo.,7,2
D2136CB1-30DC-A48F-7A02-6C48488242B4,est tempor bibendum. Donec,9,3
52C1F8CC-3987-B1DA-DAD5-A738E3780FE3,"vel,",4,2
F47A2AC5-570C-DFDF-999C-9B16228F8DF8,lobortis. Class aptent taciti sociosqu ad,4,1
0220FF5A-F8FE-9C1D-A930-6BFC6EFA5C5E,semper pretium neque. Morbi quis,8,2
457B997A-0F72-77D8-F0DB-F523ACB57EA6,"orci, consectetuer euismod est arcu ac",4,3
18A17F89-7A1B-E208-A5F8-F679A3ABB4E2,a odio semper cursus. Integer mollis. Integer,10,3
2000A7DA-16DC-6E0B-D6B3-88666A264C35,"mollis dui, in sodales elit",5,2
E6953A1A-FAEC-EFC0-A25C-A6C55F5854DE,"dictum mi, ac mattis velit justo nec ante.",9,1
